chunks,begin,end,sentence_id,entities
significant,30551,30561,182,Modifier
improvements in pulmonary function,30563,30596,182,Symptom
6-min walk distance,30599,30617,182,Symptom
dyspnea score,30620,30632,182,Symptom
placement of the self-expanding endobronchial occluder,30673,30726,182,Procedure
bronchoscopic lung volume reduction,30731,30765,182,Procedure
2013,30943,30946,185,Date
bronchoscopic techniques,30973,30996,185,Procedure
bronchoscopic lung volume reduction,31034,31068,185,Procedure
lung,31155,31158,185,Internal_organ_or_component
emphysema,31193,31201,185,Disease_Syndrome_Disorder
airway bypass,31219,31231,186,Procedure
creation of airway/parenchyma communications,31236,31279,186,Procedure
endobronchial valves,31288,31307,186,Internal_organ_or_component
airways,31323,31329,186,Internal_organ_or_component
lobes,31347,31351,186,Internal_organ_or_component
endobronchial coils,31354,31372,186,Medical_Device
parenchyma,31406,31415,186,Internal_organ_or_component
alveoli,31503,31509,186,Internal_organ_or_component
Bronchial valves,31715,31730,187,Internal_organ_or_component
very narrow,31769,31779,187,Modifier
emphysema,31794,31802,187,Disease_Syndrome_Disorder
reversible,31851,31860,187,Modifier
Parenchymal,31880,31890,188,Internal_organ_or_component
permanent effects,31931,31947,188,Symptom
transient,31955,31963,188,Modifier
inflammatory syndrome,31965,31985,188,Disease_Syndrome_Disorder
fissure,32051,32057,188,Internal_organ_or_component
severe,32382,32387,189,Modifier
lung emphysema,32389,32402,189,Disease_Syndrome_Disorder
2014,32439,32442,190,RelativeDate
COPD,32457,32460,190,Disease_Syndrome_Disorder
Emphysema,32518,32526,191,Disease_Syndrome_Disorder
COPD,32546,32549,191,Disease_Syndrome_Disorder
reduced gas exchange,32597,32616,191,Symptom
interference with breathing mechanics,32622,32658,191,Symptom
Endoscopic lung volume reduction,32662,32693,192,Procedure
1-way valves,32701,32712,192,Medical_Device
atelectasis,32724,32734,192,Disease_Syndrome_Disorder
hyper-inflated lobe,32743,32761,192,Internal_organ_or_component
over the last decade,32813,32832,192,RelativeDate
Clinical Trials Databases,32913,32937,193,Test
COPD,32962,32965,193,Disease_Syndrome_Disorder
emphysema,32968,32976,193,Disease_Syndrome_Disorder
lung volume reduction,32979,32999,193,Procedure
endobronchial valves,33005,33024,193,Internal_organ_or_component
complete,33092,33099,194,Modifier
lobar occlusion,33101,33115,194,Disease_Syndrome_Disorder
lobar fissure,33186,33198,194,Internal_organ_or_component
greater,33268,33274,195,Modifier
heterogeneity,33276,33288,195,Symptom
upper and lower lobes,33322,33342,195,Internal_organ_or_component
endobronchial valves,33515,33534,197,Internal_organ_or_component
emphysema,33585,33593,197,Disease_Syndrome_Disorder
pneumothoraces,33665,33678,197,Disease_Syndrome_Disorder
significant,33749,33759,198,Modifier
benefit in terms of lung function,33761,33793,198,Symptom
chronic,33944,33950,198,Modifier
obstructive pulmonary disease”,33952,33981,198,Disease_Syndrome_Disorder
2013,33984,33987,198,Date
post-hoc analysis,34008,34024,198,Test
BLVR,34027,34030,198,Test
Bronchoscopic Lung Volume Reduction,34033,34067,198,Procedure
COPD,34073,34076,198,Disease_Syndrome_Disorder
severe,34092,34097,198,Modifier
airflow limitation,34099,34116,198,Symptom
FEV1,34119,34122,198,Test
15 % - 45 %,34124,34134,198,Test_Result
heterogeneous,34148,34160,198,Modifier
emphysema,34162,34170,198,Disease_Syndrome_Disorder
computed tomography,34175,34193,198,Test
CT,34196,34197,198,Test
scan,34200,34203,198,Test
hyperinflation,34210,34223,198,Symptom
total lung capacity,34226,34244,198,Test
modest,34339,34344,198,Modifier
improvements in lung function,34346,34374,198,Symptom
exercise tolerance,34377,34394,198,Symptom
frequent,34430,34437,198,Modifier
exacerbations,34439,34451,198,Modifier
COPD,34456,34459,198,Disease_Syndrome_Disorder
pneumonia,34462,34470,198,Disease_Syndrome_Disorder
hemoptysis,34477,34486,198,Symptom
“Diagnosis,34642,34651,200,Disease_Syndrome_Disorder
chronic obstructive pulmonary disease,34671,34707,200,Disease_Syndrome_Disorder
"al, 2013",34730,34737,200,Date
“Bronchoscopic LVR,34752,34769,200,Procedure
COPD,34835,34838,200,Disease_Syndrome_Disorder
2014,34871,34874,201,RelativeDate
COPD,34888,34891,201,Disease_Syndrome_Disorder
progressive,34898,34908,201,Modifier
National Emphysema,35013,35030,202,Disease_Syndrome_Disorder
LVRS,35093,35096,202,Procedure
debilitated,35140,35150,203,Modifier
COPD,35152,35155,203,Disease_Syndrome_Disorder
BLVR,35320,35323,204,Medical_Device
In recent years,35327,35341,205,RelativeDate
non-invasive BLVR procedures,35357,35384,205,Procedure
Bronchoscopic lung volume reduction,35469,35503,206,Procedure
hyper-inflation,35536,35550,206,Internal_organ_or_component
emphysema,35559,35567,206,Disease_Syndrome_Disorder
surgical resection,35624,35641,206,Procedure
BLVR devices,35666,35677,207,Medical_Device
endobronchial valves,35684,35703,207,Medical_Device
foam sealant,35706,35717,207,Medical_Device
metallic coils,35720,35733,207,Medical_Device
airway bypass stents,35736,35755,207,Medical_Device
vapor thermal ablation,35761,35782,207,Procedure
Endobronchial valves,35915,35934,210,Internal_organ_or_component
affected,35969,35976,210,Modifier
emphysematous regions,35978,35998,210,Symptom
lobar absorption atelectasis,36036,36063,210,Disease_Syndrome_Disorder
Airway bypass stents,36067,36086,211,Procedure
homogenous,36095,36104,211,Modifier
emphysema,36106,36114,211,Disease_Syndrome_Disorder
valves and thermal vapor ablation,36125,36157,211,Procedure
heterogeneous,36166,36178,211,Modifier
emphysema,36180,36188,211,Disease_Syndrome_Disorder
endoscopic coil implants,36216,36239,212,Medical_Device
heterogeneous,36279,36291,212,Modifier
emphysema,36293,36301,212,Disease_Syndrome_Disorder
BLVR,36331,36334,213,Procedure
COPD,36429,36432,213,Disease_Syndrome_Disorder
Ludwig Boltzmann Institute,36654,36679,216,Clinical_Dept
endobronchial valve implantation,36717,36748,216,Procedure
emphysema,36754,36762,216,Disease_Syndrome_Disorder
‘endobronchial valve implantation,36860,36892,216,Procedure
severe,36920,36925,216,Modifier
pulmonary emphysema’,36927,36946,216,Symptom
Bronchoscopic Lung Volume Reduction,37001,37035,217,Procedure
Severe,37058,37063,217,Modifier
Emphysema,37065,37073,217,Disease_Syndrome_Disorder
severe,37131,37136,218,Modifier
emphysema,37138,37146,218,Disease_Syndrome_Disorder
limited,37152,37158,218,Modifier
Lung volume reduction,37162,37182,219,Procedure
nitinol coils,37190,37202,219,Medical_Device
bronchoscopic intervention,37209,37234,219,Procedure
regional parenchymal volume reduction,37245,37281,219,Procedure
lung recoil,37297,37307,219,Symptom
researchers,37317,37327,220,Employment
nitinol coils,37398,37410,220,Medical_Device
severe,37428,37433,220,Modifier
emphysema,37435,37443,220,Disease_Syndrome_Disorder
10 university hospitals,37545,37567,221,Clinical_Dept
emphysema,37609,37617,222,Disease_Syndrome_Disorder
March,37633,37637,222,Date
October 2013,37642,37653,222,Date
December 2014,37697,37709,222,Date
bronchodilators,37785,37799,223,Drug_Ingredient
inhaled,37817,37823,223,Route
corticosteroids,37825,37839,223,Drug_Ingredient
oxygen,37845,37850,223,Oxygen_Therapy
bilateral,37873,37881,223,Direction
coil treatment,37883,37896,223,Procedure
bilateral,38009,38017,223,Direction
lobes,38019,38023,223,Internal_organ_or_component
at 6 months,38133,38143,224,RelativeDate
at 6 and 12 months,38209,38226,225,RelativeDate
lung,38241,38244,225,Internal_organ_or_component
St George's Respiratory Questionnaire,38287,38323,225,Test
71,38552,38553,226,Age
men,38555,38557,226,Gender
29,38563,38564,226,Age
women,38566,38570,226,Gender
mean age of 62 years,38573,38592,226,Age
At 6 months,38611,38621,227,RelativeDate
St George's Respiratory Questionnaire,39275,39311,228,Test
Within 12 months,39343,39358,229,RelativeDate
severe,39717,39722,231,Modifier
emphysema,39724,39732,231,Disease_Syndrome_Disorder
for 6 months,39746,39757,231,Duration
bronchoscopic treatment,39760,39782,231,Procedure
nitinol coils,39789,39801,231,Medical_Device
heterogeneous,40133,40145,233,Modifier
emphysema,40147,40155,233,Disease_Syndrome_Disorder
heterogeneous,40239,40251,234,Modifier
emphysema,40253,40261,234,Disease_Syndrome_Disorder
physicians,40504,40513,235,Employment
COPD,40540,40543,235,Disease_Syndrome_Disorder
Endobronchial Valves,40727,40746,236,Medical_Device
Advanced,40752,40759,236,Modifier
Emphysema,40761,40769,236,Disease_Syndrome_Disorder
bronchoscopic lung volume reduction,40867,40901,237,Procedure
endobronchial valves,40908,40927,237,Procedure
EBV,40930,40932,237,Test
advanced,40939,40946,237,Modifier
emphysema,40948,40956,237,Disease_Syndrome_Disorder
emphysema,41100,41108,239,Disease_Syndrome_Disorder
for 3 to 12 months,41110,41127,239,Duration
EBV,41138,41140,239,Test
EBV,41186,41188,239,Test
advanced,41262,41269,240,Modifier
emphysema,41271,41279,240,Disease_Syndrome_Disorder
EBV,41294,41296,240,Test
FEV1,41346,41349,241,Test
FEV1%,41352,41356,241,Test
St George's Respiratory Questionnaire,41389,41425,242,Test
SGRQ,41428,41431,242,Test
6MWD test,41461,41469,242,Test
Modified Medical Research Council,41476,41508,242,Clinical_Dept
MMRC,41511,41514,242,Symptom
dyspnea score,41517,41529,242,Symptom
at 3 or 12 months,41600,41616,242,RelativeDate
EBV,41822,41824,244,Test
FEV1%,41864,41868,244,Test
EBV,41946,41948,244,Test
SGRQ score,42002,42011,244,Test
MMRC dyspnea score,42064,42081,244,Symptom
EBV,42300,42302,245,Test
hemoptysis,42329,42338,245,Symptom
RR,42341,42342,245,Test
AES,42427,42429,245,Disease_Syndrome_Disorder
respiratory failure,42453,42471,245,VS_Finding
empyema,42474,42480,245,Disease_Syndrome_Disorder
pneumonia,42483,42491,245,Disease_Syndrome_Disorder
pneumothorax,42494,42505,245,Disease_Syndrome_Disorder
EBV,42554,42556,246,Test
EBV,42593,42595,246,Test
not significant,42601,42615,246,Test_Result
2.03,42623,42626,246,Test_Result
EBV lung volume reduction,42691,42715,247,Procedure
advanced,42721,42728,247,Modifier
emphysema,42730,42738,247,Disease_Syndrome_Disorder
EBV,42844,42846,247,Test
bronchoscopic lung volume reduction,42995,43029,248,Procedure
EBV,43036,43038,248,Test
advanced,43043,43050,248,Modifier
emphysema,43052,43060,248,Disease_Syndrome_Disorder
EBV placement,43269,43281,249,Procedure
single specialist center,43314,43337,250,Employment
heterogeneous,43361,43373,251,Modifier
emphysema,43375,43383,251,Disease_Syndrome_Disorder
lobe,43398,43401,251,Internal_organ_or_component
inter-lobar fissures,43415,43434,251,Internal_organ_or_component
significant,43462,43472,251,Modifier
gas trapping,43474,43485,251,Symptom
total lung capacity,43488,43506,251,Symptom
breathlessness,43585,43598,251,Symptom
dyspnea score of greater than or equal to 3] and exercise limitation,43606,43673,251,Symptom
Subjects,43703,43710,252,Gender
non-smokers,43755,43765,252,Smoking
unilateral,43814,43823,253,Direction
lobar EBV placement,43825,43843,253,Procedure
lobar atelectasis,43863,43879,253,Disease_Syndrome_Disorder
bronchoscopy,43884,43895,253,Procedure
“sham” valve placement,43901,43922,253,Procedure
FEV1,43967,43970,254,Test
arm,43989,43991,254,External_body_part_or_region
arm,44019,44021,254,External_body_part_or_region
90 days post-procedure,44032,44053,254,RelativeDate
lung,44093,44096,255,Internal_organ_or_component
arm,44276,44278,256,External_body_part_or_region
male,44291,44294,256,Gender
FEV1%,44326,44330,256,Test
FEV1,44410,44413,257,Test
arm,44479,44481,257,External_body_part_or_region
arm,44537,44539,257,External_body_part_or_region
clinically significant,44649,44670,258,Modifier
improvements in lung volumes,44672,44699,258,Symptom
carbon monoxide gas transfer,44705,44732,258,ImagingFindings
arm,44847,44849,258,External_body_part_or_region
prolonged,44932,44940,258,Modifier
pneumothorax,44942,44953,258,Disease_Syndrome_Disorder
arm,44999,45001,258,External_body_part_or_region
significant,45133,45143,259,Modifier
improvement in lung function,45145,45172,259,Symptom
lobar occlusion,45182,45196,259,Disease_Syndrome_Disorder
heterogeneous,45211,45223,259,Modifier
emphysema,45225,45233,259,Disease_Syndrome_Disorder
BLVR,45319,45322,260,Procedure
in the recent years,45442,45460,260,RelativeDate
BLVR procedures,45476,45490,260,Procedure
moderate-to-severe,45574,45591,260,Modifier
COPD,45593,45596,260,Disease_Syndrome_Disorder
BLVR,45666,45669,261,Procedure
moderate-to-severe,45736,45753,261,Modifier
COPD,45755,45758,261,Disease_Syndrome_Disorder
"December 7, 2016",46033,46048,263,Date
RCTs,46066,46069,264,Test
95,46373,46374,267,Test_Result
FEV1,46472,46475,267,Test
IQR,46507,46509,267,Test
12 units,46610,46617,267,Dosage
22 units to -5 units,46626,46645,267,Dosage
3 units,46656,46662,267,Dosage
5 units,46671,46677,267,Dosage
1 units,46682,46688,267,Dosage
OR,46804,46805,268,Clinical_Dept
AEs,46839,46841,268,Symptom
AeriSeal,46890,46897,268,Drug_BrandName
OR,46900,46901,268,Clinical_Dept
airway bypass stents,47045,47064,270,Medical_Device
lead,47094,47097,270,Medical_Device
5.58 units,47220,47229,270,Dosage
1.58 units,47234,47243,270,Dosage
OR 0.76,47348,47354,271,Clinical_Dept
significant,47394,47404,271,Modifier
differences in adverse events,47406,47434,271,Symptom
endobronchial coils,47612,47630,273,Medical_Device
9.14 units,47760,47769,273,Dosage
OR,47864,47865,274,Clinical_Dept
AEs,47901,47903,274,Symptom
coils,47966,47970,274,Medical_Device
OR,47973,47974,274,Clinical_Dept
endobronchial valves,48109,48128,276,Internal_organ_or_component
significant,48152,48162,276,Modifier
improvements in FEV1,48164,48183,276,Symptom
7.29 units,48275,48284,276,Dosage
11.12 units,48297,48307,276,Dosage
3.45 units,48313,48322,276,Dosage
OR,48400,48401,277,Clinical_Dept
AEs,48437,48439,277,Symptom
endobronchial valve,48465,48483,277,Internal_organ_or_component
collateral ventilation,48588,48609,278,Oxygen_Therapy
partial,48768,48774,280,Modifier
bilateral,48776,48784,280,Direction
placement of intra-bronchial valves,48786,48820,280,Procedure
FEV1,48861,48864,280,Test
groups,48945,48950,280,Internal_organ_or_component
significant,49001,49011,281,Modifier
differences in SGRQ scores,49013,49038,281,Symptom
0.28 units,49066,49075,281,Dosage
5.56 units,49080,49089,281,Dosage
OR,49112,49113,281,Clinical_Dept
AEs,49150,49152,281,Symptom
OR 3.41,49174,49180,281,Clinical_Dept
intra-bronchial valves,49235,49256,281,Medical_Device
unilateral,49386,49395,282,Direction
bilateral,49412,49420,282,Direction
placement,49422,49430,282,Procedure
significant,49441,49451,282,Modifier
improvements in FEV1,49453,49472,282,Symptom
unilateral,49498,49507,282,Direction
significant,49613,49623,284,Modifier
mean between-group differences in FEV1,49625,49662,284,Symptom
9.70 units,49713,49722,284,Dosage
15.62 units,49735,49745,284,Dosage
3.78 units,49751,49760,284,Dosage
vapor ablation,49773,49786,284,Procedure
OR 2.82,49867,49873,285,Clinical_Dept
vapor ablation,49905,49918,285,Procedure
AEs,49946,49948,285,Symptom
OR,49951,49952,285,Clinical_Dept
BLVR procedures,50088,50102,287,Procedure
up to 1 year,50183,50194,287,RelativeDate
increased,50261,50269,287,Modifier
AEs,50271,50273,287,Symptom
BLVR procedures,50367,50381,288,Procedure
significant,50516,50526,289,Modifier
heterogeneity,50528,50540,289,Symptom
endobronchial valves,50903,50922,290,Internal_organ_or_component
endobronchial valves,51141,51160,292,Internal_organ_or_component
National Institute,51211,51228,293,Clinical_Dept
Clinical Excellence’s guidance,51234,51263,293,Test
“Endobronchial valve insertion,51268,51297,293,Procedure
lung volume,51309,51319,293,Internal_organ_or_component
endobronchial valve insertion,51436,51464,293,Procedure
lung volume,51476,51486,293,Internal_organ_or_component
emphysema,51491,51499,293,Disease_Syndrome_Disorder
multi-disciplinary team,51705,51727,294,Clinical_Dept
managing,51744,51751,294,Modifier
emphysema,51753,51761,294,Disease_Syndrome_Disorder
chest physician,51797,51811,294,Employment
radiologist,51816,51826,294,Employment
thoracic surgeon,51831,51846,294,Employment
respiratory nurse,51854,51870,294,Employment
pulmonary rehabilitation,51921,51944,295,Treatment
lung,52007,52010,296,Internal_organ_or_component
inter-lobar collateral ventilation,52030,52063,296,Symptom
Chronic,52149,52155,297,Modifier
Obstructive Lung Disease’s,52157,52182,297,Disease_Syndrome_Disorder
chronic,52250,52256,297,Modifier
obstructive pulmonary disease”,52258,52287,297,Disease_Syndrome_Disorder
2010,52339,52342,297,Date
endobronchial vale,52367,52384,297,Procedure
advance,52407,52413,297,Modifier
emphysema,52415,52423,297,Disease_Syndrome_Disorder
“choosing bronchoscopic lung reduction,52441,52478,298,Procedure
coil placement,52481,52494,298,Procedure
endobronchial valve,52499,52517,298,Procedure
surgical resection,52523,52540,298,Procedure
lung volume reduction surgery,52543,52571,298,Procedure
LVRS,52574,52577,298,Procedure
emphysematous,52611,52623,298,Disease_Syndrome_Disorder
emphysema,52707,52715,299,Disease_Syndrome_Disorder
high-resolution computed tomography,52731,52765,299,Test
HRCT,52768,52771,299,Test
interlobar collateral ventilation,52791,52823,299,Test
HRCT,52858,52861,299,Test
physiological assessment,52866,52889,299,Test
endoscopic balloon occlusion,52892,52919,299,Procedure
flow assessment,52925,52939,299,Test
provider,53015,53022,299,Employment
heterogeneous or homogeneous,53091,53118,301,Modifier
emphysema,53120,53128,301,Disease_Syndrome_Disorder
surgical or bronchoscopic modes of lung volume reduction,53200,53255,301,Procedure
endobronchial 1-way valves,53264,53289,301,Medical_Device
lung coils,53294,53303,301,Medical_Device
advanced,53351,53358,302,Modifier
emphysema bronchoscopic,53360,53382,302,Disease_Syndrome_Disorder
end-expiratory lung volume,53405,53430,302,Symptom
improves exercise tolerance,53436,53462,302,Symptom
lung,53483,53486,302,Internal_organ_or_component
6 to 12 months following,53500,53523,302,RelativeDate
Endobronchial valve,53537,53555,303,Internal_organ_or_component
lung coils,53572,53581,303,Medical_Device
"June 29, 2018",53601,53613,304,Date
Zephyr Endobronchial Valve,53637,53662,304,Medical_Device
Zephyr Valve,53665,53676,304,Medical_Device
breathing difficulty,53718,53737,304,Symptom
severe,53755,53760,304,Modifier
emphysema,53762,53770,304,Disease_Syndrome_Disorder
Zephyr Valve device,53778,53796,305,Medical_Device
active,53835,53840,305,Modifier
lung infections,53842,53856,305,Disease_Syndrome_Disorder
allergic,53873,53880,305,Disease_Syndrome_Disorder
nitinol,53885,53891,305,Medical_Device
nickel,53894,53899,305,Drug_Ingredient
titanium,53902,53909,305,Medical_Device
silicone,53914,53921,305,Medical_Device
smokers,53931,53937,305,Smoking
bronchoscopic procedure,53982,54004,305,Procedure
lung procedures,54036,54050,306,Procedure
heart disease,54053,54065,306,Heart_Disease
large,54068,54072,306,Modifier
bubbles of air trapped in the lung,54074,54107,306,Symptom
Zephyr Valve device,54208,54226,306,Medical_Device
Spiration Valve System,54258,54279,307,Medical_Device
"December 3, 2018",54284,54299,308,Date
Spiration Valve System,54323,54344,308,Medical_Device
lungs,54388,54392,308,Internal_organ_or_component
severe,54434,54439,308,Modifier
emphysema,54441,54449,308,Disease_Syndrome_Disorder
pulmonary rehabilitation,54497,54520,308,Treatment
oxygen,54527,54532,308,Oxygen_Therapy
COPD,54580,54583,309,Disease_Syndrome_Disorder
tobacco smoke,54654,54666,309,Smoking
Spiration Valve System,54861,54882,310,Medical_Device
COPD,54927,54930,310,Disease_Syndrome_Disorder
severe,54946,54951,310,Modifier
emphysema,54953,54961,310,Disease_Syndrome_Disorder
severe,54979,54984,311,Modifier
airflow obstruction,54986,55004,311,Disease_Syndrome_Disorder
hyper-inflation,55007,55021,311,Modifier
severe,55028,55033,311,Modifier
dyspnea,55035,55041,311,Symptom
interlobar fissure,55048,55065,311,Internal_organ_or_component
FEV1,55370,55373,313,Test
through 6 months,55511,55526,313,RelativeDate
lobe volume reduction,55563,55583,314,Procedure
at 3 months,55598,55608,314,RelativeDate
deterioration in the control group,55767,55800,315,Symptom
acute,55926,55930,317,Modifier
exacerbations,55932,55944,317,Modifier
COPD,55949,55952,317,Disease_Syndrome_Disorder
groups,55962,55967,317,Internal_organ_or_component
severe,56133,56138,319,Modifier
emphysema,56140,56148,319,Disease_Syndrome_Disorder
SVS,56311,56313,320,Internal_organ_or_component
aged,56364,56367,321,Age
40 years of age,56394,56408,321,Age
severe,56415,56420,321,Modifier
heterogeneous,56423,56435,321,Modifier
emphysema,56437,56445,321,Disease_Syndrome_Disorder
FEV1,56606,56609,322,Test
to 6 months,56625,56635,322,RelativeDate
difference in FEV1 responder rates,56682,56715,323,Symptom
lobe volume reduction,56725,56745,323,Procedure
dyspnea,56780,56786,323,Symptom
exercise capacity,56793,56809,323,Symptom
composite thoracic SAE,56861,56882,324,Disease_Syndrome_Disorder
arms,57021,57024,325,External_body_part_or_region
October 2013,57036,57047,326,Date
May 2017,57053,57060,326,Date
total of 172,57065,57076,326,Height
men,57099,57101,326,Gender
mean age of 67.4 years,57104,57125,326,Age
FEV1,57194,57197,327,Test
at 6 and 12 months,57313,57330,327,RelativeDate
At 6 months,57435,57445,328,RelativeDate
Composite thoracic SAE,57553,57574,329,Disease_Syndrome_Disorder
6 months,57594,57601,329,Duration
serious,57701,57707,329,Modifier
pneumothorax,57709,57720,329,Disease_Syndrome_Disorder
severe,57768,57773,330,Modifier
heterogeneous,57775,57787,330,Modifier
emphysema,57789,57797,330,Disease_Syndrome_Disorder
Digital Chest Drainage System,57906,57934,331,Medical_Device
Pos-Operative Chest Tube,57940,57963,331,Medical_Device
Pulmonary Resection,57982,58000,331,Procedure
Takamochi,58038,58046,332,Drug_BrandName
digital thoracic drainage system,58084,58115,332,Medical_Device
traditional thoracic drainage system,58164,58199,332,Medical_Device
chest tube,58214,58223,332,Internal_organ_or_component
anatomic lung resection,58246,58268,332,Procedure
segmentectomy,58302,58314,333,Procedure
lobectomy,58319,58327,333,Procedure
smoking,58497,58503,334,Smoking
emphysema,58529,58537,334,Disease_Syndrome_Disorder
chronic obstructive pulmonary disease,58546,58582,334,Disease_Syndrome_Disorder
chest tube placement,58628,58647,335,Procedure
chest tube placement,58777,58796,336,Procedure
post-operative,58928,58941,336,Modifier
AEs,58943,58945,336,Symptom
post-operative,59028,59041,337,Modifier
air leak,59043,59050,337,Symptom
chest tube placement,59103,59122,337,Procedure
post-operative,59183,59196,337,Modifier
air leak,59198,59205,337,Symptom
3.0 days,59229,59236,337,Duration
digital thoracic drainage system,59343,59374,338,Medical_Device
chest tube placement,59408,59427,338,Procedure
traditional thoracic drainage system,59448,59483,338,Medical_Device
anatomic lung resection,59491,59513,338,Procedure
digital chest drainage system,59625,59653,339,Medical_Device
traditional chest drainage system,59662,59694,339,Medical_Device
digital chest drainage system,59861,59889,341,Medical_Device
traditional chest drainage system,59896,59928,341,Medical_Device
pulmonary resection,59936,59954,341,Procedure
traditional chest drainage system,60091,60123,343,Medical_Device
digital chest drainage system,60126,60154,343,Medical_Device
prolonged,60176,60184,343,Modifier
air leak,60186,60193,343,Symptom
chest drainage,60279,60292,343,Procedure
pulmonary resection,60442,60460,343,Procedure
digital chest drainage system,60491,60519,344,Medical_Device
researchers,60682,60692,345,Employment
digital chest drainage system,60785,60813,345,Medical_Device
Positive,60830,60837,346,Test_Result
Pressure Ventilation,60839,60858,346,Test
Pulmonary Resection,60898,60916,346,Procedure
Lung Cancer,60921,60931,346,Oncological
pulmonary complications,60983,61005,347,Symptom
lung resection,61069,61082,347,Procedure
lung cancer,61102,61112,347,Oncological
intubation,61140,61149,348,Procedure
intensive care unit,61171,61189,348,Clinical_Dept
ICU,61192,61194,348,Clinical_Dept
antibiotics,61215,61225,348,Drug_Ingredient
post-operative pulmonary complications,61279,61316,348,Disease_Syndrome_Disorder
Non-invasive,61320,61331,349,Test
positive,61333,61340,349,Test_Result
pressure ventilation,61342,61361,349,Test
NIPPV,61364,61368,349,Oxygen_Therapy
hospitals,61389,61397,349,Clinical_Dept
pulmonary complications,61439,61461,349,Symptom
researchers,61534,61544,350,Employment
NIPPV,61588,61592,350,Oxygen_Therapy
pulmonary resection,61645,61663,350,Procedure
lung cancer,61669,61679,350,Oncological
"December 21, 2018",61799,61815,351,Date
language restrictions,61904,61924,352,Symptom
researchers,62273,62283,357,Employment
NIPPV,62357,62361,357,Oxygen_Therapy
pulmonary resection,62408,62426,357,Procedure
respiratory therapy,62465,62483,357,Treatment
pulmonary complications,63120,63142,361,Symptom
NIPPV,63192,63196,361,Oxygen_Therapy
intubation,63281,63290,361,Procedure
RR 0.60,63573,63579,362,Respiration
ventilatory mode,63674,63689,363,Oxygen_Therapy
bi-level,63692,63699,363,Oxygen_Therapy
CPAP,63745,63748,363,Oxygen_Therapy
antibiotics,63798,63808,364,Drug_Ingredient
ICU,63844,63846,364,Clinical_Dept
NIPPV,64200,64204,365,Oxygen_Therapy
severe,64540,64545,367,Modifier
disease,64547,64553,367,Disease_Syndrome_Disorder
NIPPV,64709,64713,368,Oxygen_Therapy
NIPPV,64839,64843,369,Oxygen_Therapy
pulmonary resection,64880,64898,369,Procedure
pulmonary complications,64927,64949,369,Disease_Syndrome_Disorder
intubation,64960,64969,369,Procedure
antibiotics,65013,65023,369,Drug_Ingredient
ICU,65036,65038,369,Clinical_Dept
NIPPV,65101,65105,369,Oxygen_Therapy
researchers,65271,65281,371,Employment
Bronchoscopic Thermal Vapor Ablation,65425,65460,372,Procedure
Upper-Lobe Emphysema,65483,65502,372,Disease_Syndrome_Disorder
2012,65526,65529,373,Date
surgical lung volume reduction,65587,65616,373,Procedure
emphysema,65722,65730,373,Disease_Syndrome_Disorder
bronchoscopic thermal vapor ablation,65777,65812,374,Procedure
lung,65824,65827,374,Internal_organ_or_component
emphysema,65867,65875,374,Disease_Syndrome_Disorder
upper,65907,65911,375,Direction
lobe-predominant emphysema,65913,65938,375,Disease_Syndrome_Disorder
unilaterally,65953,65964,375,Direction
BTVA,65971,65974,375,Drug_BrandName
age of 40 to 75 years,66003,66023,376,Age
FEV1,66026,66029,376,Test
15 %  to 45 %,66034,66046,376,Test_Result
pulmonary rehabilitation,66068,66091,376,Treatment
heterogeneity index,66099,66117,376,Test
tissue/air ratio of lower lobe/upper lobe,66120,66160,376,Test
HRCT,66168,66171,376,Test
greater than or equal to 1.2,66176,66203,376,Test_Result
Changes in FEV1,66207,66221,377,Symptom
SGRQ,66224,66227,377,Test
6MWD,66230,66233,377,Test
MMRC dyspnea score,66236,66253,377,Symptom
hyperinflation,66260,66273,377,Symptom
3 and 6 months,66306,66319,377,Frequency
At 6 months,66333,66343,378,RelativeDate
RV,66401,66402,378,Test
p < 0.0001,66433,66442,378,Test_Result
14.0 ± 2.4 points,66476,66492,379,Test_Result
MMRC dyspnea score,66621,66638,380,Symptom
during the initial 30 days,66757,66782,381,RelativeDate
BTVA therapy,66813,66824,382,Treatment
lung,66874,66877,382,Internal_organ_or_component
upper lobe,66919,66928,382,Internal_organ_or_component
predominant,66930,66940,382,Modifier
emphysema,66942,66950,382,Disease_Syndrome_Disorder
researchers,66970,66980,383,Employment
arm,67087,67089,383,External_body_part_or_region
incorporation of a control arm,67270,67299,385,Procedure
arm,67326,67328,386,External_body_part_or_region
improvements in physiology,67497,67522,387,Symptom
0.05,67601,67604,387,Test_Result
GOLD stage III and IV disease,67664,67692,388,Disease_Syndrome_Disorder
significant,67735,67745,388,Modifier
impairments in health-related QOL,67747,67779,388,Symptom
pulmonary rehabilitation,67815,67838,388,Treatment
upper lobe predominant emphysema,67972,68003,389,Disease_Syndrome_Disorder
lower lobe disease,68091,68108,390,Disease_Syndrome_Disorder
National Emphysema,68153,68170,391,Disease_Syndrome_Disorder
BODE score,68235,68244,391,Test
over 6 months,68364,68376,391,RelativeDate
endoscopic lung volume reduction,68488,68519,392,Procedure
ELVR,68522,68525,392,Procedure
hyper-inflation reduction,68552,68576,392,Procedure
advanced,68595,68602,392,Modifier
emphysema,68604,68612,392,Disease_Syndrome_Disorder
segmental vapor ablation,68661,68684,393,Procedure
inflammatory response,68690,68710,393,Symptom
